"","pos","name","date","time","map"
"21009","1","n00k!e","20/09/15","10.134","apocalypse45"
"21010","1","KroPP","24/06/14","178.225","apocalypse46"
"21011","1","KroPP","02/01/16","24.617","apocalypse47"
"21012","1","KroPP","27/06/14","38.473","apocalypse48"
"21013","1","Lofas","07/07/15","63.821","apocalypse49"
"21014","1","KroPP","04/06/14","61.251","apocalypse5"
"21015","1","rl","14/07/12","35.995","apocalypse50"
"21016","1","KroPP","30/05/14","38.512","apocalypse51"
"21017","1","Tig","02/02/13","40.536","apocalypse52"
"21018","1","KroPP","04/05/14","48.594","apocalypse53"
"21019","1","KroPP","31/12/15","209.577","apocalypse54"
"21020","1","Lofas","17/10/13","37.358","apocalypse55"
"21021","1","Lofas","28/12/12","40.174","apocalypse56"
"21022","1","KroPP","24/04/15","19.226","apocalypse57"
"21023","1","n00k!e","18/05/14","26.513","apocalypse58"
"21024","1","KroPP","25/12/14","329.067","apocalypse59"
"21025","1","n00k!e","20/09/15","35.102","apocalypse6"
"21026","1","KroPP","14/10/13","544.391","apocalypse60"
"21027","1","n00k!e","06/06/13","14.552","apocalypse62"
"21028","1","Lofas","30/06/15","20.266","apocalypse63"
"21029","1","KroPP","09/02/14","63.822","apocalypse7"
"21030","1","Lofas","17/10/14","168.085","apocalypse8"
"21031","1","KroPP","11/07/14","22.589","apocalypse9"
"21032","1","prd","25/10/16","13.673","arenacross1"
"21033","1","Castro","01/03/16","31.268","ariejump1"
"21034","1","KroPP","01/06/13","43.062","ariejump10"
"21035","1","KroPP","01/06/13","26.022","ariejump11"
"21036","1","APKIS","14/10/15","27.713","ariejump12"
"21037","1","KroPP","17/10/15","6.948","ariejump13"
"21038","1","KroPP","29/06/13","35.998","ariejump14"
"21039","1","KroPP","15/10/13","25.417","ariejump15"
"21040","1","ds.ads","24/11/12","14.705","ariejump16"
"21041","1","KroPP","15/10/13","14.258","ariejump17"
"21042","1","APKIS","16/06/15","17.666","ariejump18"
"21043","1","KroPP","28/09/13","15.452","ariejump19"
"21044","1","KroPP","22/05/13","17.732","ariejump2"
"21045","1","_PLAY_","14/01/14","3.573","ariejump20"
"21046","1","Lofas","08/07/13","9.363","ariejump21"
"21047","1","KroPP","31/05/14","10.148","ariejump22"
"21048","1","KroPP","15/10/13","54.543","ariejump23"
"21049","1","Lofas","28/09/15","4.655","ariejump24"
"21050","1","ds.ads","25/01/14","9.476","ariejump25"
"21051","1","KroPP","15/10/13","18.846","ariejump26"
"21052","1","KroPP","16/10/13","27.495","ariejump27"
"21053","1","KroPP","30/12/15","7.069","ariejump28"
"21054","1","KroPP","17/10/13","23.087","ariejump29"
"21055","1","KroPP","14/10/13","14.888","ariejump3"
"21056","1","KroPP","29/03/14","25.973","ariejump30"
"21057","1","KroPP","01/06/14","57.002","ariejump31"
"21058","1","n00k!e","13/10/15","31.242","ariejump32"
"21059","1","KroPP","07/05/14","65.356","ariejump33"
"21060","1","KroPP","19/10/13","26.923","ariejump34"
"21061","1","KroPP","10/05/14","38.903","ariejump35"
"21062","1","KroPP","01/06/14","44.368","ariejump36"
"21063","1","KroPP","01/06/14","33.497","ariejump37"
"21064","1","KroPP","02/06/14","48.310","ariejump38"
"21065","1","KroPP","04/08/15","42.725","ariejump39"
"21066","1","KroPP","30/01/16","17.932","ariejump4"
"21067","1","n00k!e","09/05/13","31.450","ariejump40"
"21068","1","KroPP","17/05/14","39.672","ariejump41"
"21069","1","KroPP","02/06/14","56.956","ariejump42"
"21070","1","KroPP","19/12/12","31.936","ariejump43"
"21071","1","KroPP","30/06/13","9.505","ariejump44"
"21072","1","KroPP","10/01/15","30.527","ariejump45"
"21073","1","KroPP","23/11/12","19.618","ariejump46"
"21074","1","KroPP","31/05/13","36.090","ariejump47"
"21075","1","KroPP","28/06/14","24.273","ariejump48"
"21076","1","n00k!e","06/05/14","28.468","ariejump49"
"21077","1","KroPP","02/12/12","53.846","ariejump5"
"21078","1","KroPP","03/06/14","30.606","ariejump50"
"21079","1","Lofas","09/07/13","34.100","ariejump51"
"21080","1","Goblin","28/10/15","41.612","ariejump52"
"21081","1","slugsk!e","19/01/13","45.524","ariejump53"
"21082","1","Lofas","14/04/15","40.979","ariejump54"
"21083","1","Lofas","21/07/14","187.793","ariejump55"
"21084","1","(MCS)Faderjok","23/03/14","21.846","ariejump56"
"21085","1","KroPP","01/07/13","156.148","ariejump57"
"21086","1","Lofas","03/11/15","34.203","ariejump58"
"21087","1","KroPP","23/06/14","35.457","ariejump6"
"21088","1","KroPP","14/01/14","36.786","ariejump7"
"21089","1","KroPP","02/12/12","36.509","ariejump8"
"21090","1","KroPP","15/10/13","18.066","ariejump9"
"21091","1","Lofas","27/02/14","7.929","art"
"21092","1","n00k!e","15/01/14","13.364","articjump22"
"21093","1","KroPP","13/09/15","27.940","articjumpin4"
"21094","1","Stoner","12/01/13","7.754","articjumping1"
"21095","1","KroPP","02/07/14","17.147","articjumping2"
"21096","1","n00k!e","12/03/14","45.342","articjumping5"
"21097","1","n00k!e","01/05/14","15.461","articjumping_3"
"21098","1","n00k!e","04/02/15","10.562","arvil"
"21099","1","n00k!e","06/02/15","12.861","arvil_2"
"21243","1","n00k!e","21/02/15","13.636","arvil_ice"
"21245","1","Lofas","18/05/14","11.902","as1"
"21247","1","Killa","20/04/15","17.186","as10"
"21249","1","prd","24/02/15","25.735","as11"
"21250","1","n00k!e","28/02/15","12.892","as12"
"21252","1","n00k!e","27/03/15","14.570","as13"
"21254","1","APKIS","30/03/15","18.743","as14"
"21256","1","Lofas","10/04/15","13.108","as15"
"21258","1","n00k!e","08/04/15","12.962","as16"
"21260","1","n00k!e","09/04/15","17.726","as17"
"21262","1","n00k!e","13/12/15","16.378","as18"
"21264","1","KroPP","09/05/14","13.655","as2"
"21266","1","ds.ads","05/11/12","12.263","as3"
"21268","1","Lofas","03/03/14","6.105","as4"
"21270","1","KroPP","09/01/13","16.034","as5"
"21272","1","Lofas","18/11/12","4.285","as6"
"21274","1","prd","18/11/15","4.214","as7"
"21276","1","Lofas","04/08/14","13.456","as8"
"21278","1","Goblin","08/04/16","36.935","ashfuture"
"21279","1","Lofas","21/10/15","17.993","ashtonsjumps1"
"21281","1","KroPP","26/03/16","25.843","ashtonsjumps2a"
"21282","1","KroPP","04/02/15","146.099","ashtonsjumps3"
